Linux 2.6.32-431.el6.i686 (bogon) 	06/06/2019 	_i686_	(24 CPU)

12:00:01 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
12:10:01 AM    dev8-0      0.76      0.01     11.56     15.23      0.01     10.65      4.20      0.32
12:10:01 AM  dev253-0      1.45      0.01     11.56      8.00      0.02     14.01      2.21      0.32
12:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM    dev8-0      0.26      0.01      2.83     10.85      0.00      9.08      5.11      0.13
12:20:01 AM  dev253-0      0.36      0.01      2.84      8.00      0.00      9.02      3.75      0.13
12:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM    dev8-0      0.28      0.00      3.12     11.01      0.00      9.71      4.94      0.14
12:30:01 AM  dev253-0      0.39      0.00      3.11      8.00      0.00      9.63      3.61      0.14
12:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM    dev8-0      0.31      0.00      3.17     10.13      0.00      9.66      5.42      0.17
12:40:01 AM  dev253-0      0.40      0.00      3.17      8.00      0.00      9.87      4.28      0.17
12:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:02 AM    dev8-0      0.43      0.00      5.77     13.43      0.01     23.97      4.42      0.19
12:50:02 AM  dev253-0      0.72      0.00      5.77      8.00      0.02     21.05      2.64      0.19
12:50:02 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:02 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM    dev8-0      0.28      0.00      3.14     11.06      0.00      9.61      4.92      0.14
01:00:01 AM  dev253-0      0.39      0.00      3.14      8.00      0.00     10.31      3.56      0.14
01:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM    dev8-0      0.31      0.05      3.27     10.71      0.00      9.06      4.67      0.14
01:10:01 AM  dev253-0      0.42      0.05      3.27      8.00      0.00      9.58      3.49      0.14
01:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM    dev8-0      0.31      0.00      3.20     10.27      0.00      9.22      5.10      0.16
01:20:01 AM  dev253-0      0.41      0.00      3.24      8.00      0.00      9.31      3.92      0.16
01:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:30:01 AM    dev8-0      0.26      0.00      2.79     10.93      0.00      8.95      4.95      0.13
01:30:01 AM  dev253-0      0.34      0.00      2.75      8.00      0.00      9.21      3.68      0.13
01:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:40:01 AM    dev8-0      0.30      0.00      2.99     10.12      0.00      8.63      4.98      0.15
01:40:01 AM  dev253-0      0.37      0.00      2.99      8.00      0.00      8.75      3.94      0.15
01:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:01 AM    dev8-0      0.60      0.01     14.74     24.44      0.03     42.23      4.41      0.27
01:50:01 AM  dev253-0      1.84      0.01     14.74      8.00      0.08     45.25      1.44      0.27
01:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:01 AM    dev8-0      0.36      0.03      4.03     11.36      0.00     10.50      5.16      0.18
02:00:01 AM  dev253-0      0.50      0.03      3.95      8.00      0.01     10.98      3.60      0.18
02:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:01 AM  dev253-2      0.01      0.00      0.08      8.00      0.00     12.50      5.50      0.01
02:10:01 AM    dev8-0      0.31      0.01      3.39     11.03      0.00     10.90      5.34      0.16
02:10:01 AM  dev253-0      0.43      0.01      3.39      8.00      0.00     11.11      3.87      0.16
02:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:01 AM    dev8-0      0.29      0.00      3.02     10.51      0.00      9.15      5.21      0.15
02:20:01 AM  dev253-0      0.38      0.00      3.02      8.00      0.00      9.35      3.96      0.15
02:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:30:01 AM    dev8-0      0.29      0.00      3.11     10.65      0.00      9.83      5.29      0.15
02:30:01 AM  dev253-0      0.39      0.00      3.11      8.00      0.00     10.12      3.97      0.15
02:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:40:01 AM    dev8-0      0.27      0.00      2.85     10.57      0.00      9.10      4.98      0.13
02:40:01 AM  dev253-0      0.36      0.00      2.85      8.00      0.00      9.07      3.77      0.13
02:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:50:01 AM    dev8-0      0.29      0.00      3.17     11.07      0.00      9.71      5.21      0.15
