Linux 2.6.32-431.el6.i686 (bogon) 	06/06/2019 	_i686_	(24 CPU)

12:00:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01 AM     all      0.08      0.00      0.04      0.01      0.00     99.87
12:20:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.83
12:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
12:40:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
12:50:02 AM     all      0.16      0.00      0.04      0.00      0.00     99.79
01:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
01:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
01:20:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
01:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
01:40:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
01:50:01 AM     all      0.16      0.00      0.05      0.00      0.00     99.79
02:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
02:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
02:20:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
02:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
02:40:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
02:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
03:00:01 AM     all      0.08      0.00      0.04      0.01      0.00     99.87
03:10:02 AM     all      0.16      0.01      0.05      0.00      0.00     99.78
03:20:01 AM     all      0.05      0.00      0.04      0.00      0.00     99.90
03:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
03:40:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
03:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
04:00:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
04:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
04:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
04:30:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
04:40:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.86
04:50:01 AM     all      0.05      0.00      0.04      0.00      0.00     99.90
05:00:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
05:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
05:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
05:30:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
05:40:02 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
05:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
06:00:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
06:10:01 AM     all      0.09      0.00      0.04      0.00      0.00     99.86
06:20:01 AM     all      0.05      0.00      0.04      0.00      0.00     99.90
06:30:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
06:40:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
06:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
07:00:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
07:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
07:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
07:30:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
07:40:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.86
07:50:01 AM     all      0.05      0.00      0.04      0.00      0.00     99.90
08:00:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
08:10:02 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
08:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
08:30:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
08:40:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
08:50:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
09:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
09:10:01 AM     all      0.09      0.00      0.04      0.00      0.00     99.86
09:20:01 AM     all      0.13      0.00      0.05      0.01      0.00     99.82
09:30:01 AM     all      0.23      0.00      0.05      0.01      0.00     99.70
09:40:01 AM     all      1.16      0.00      0.08      0.01      0.00     98.75
09:50:01 AM     all      0.21      0.00      0.05      0.01      0.00     99.73
10:00:01 AM     all      0.12      0.00      0.05      0.02      0.00     99.81
10:10:01 AM     all      0.14      0.00      0.05      0.01      0.00     99.80
10:20:01 AM     all      1.13      0.00      0.08      0.01      0.00     98.78
10:30:01 AM     all      0.09      0.00      0.04      0.01      0.00     99.86
10:40:01 AM     all      0.21      0.00      0.05      0.01      0.00     99.73
10:50:02 AM     all      0.13      0.00      0.05      0.01      0.00     99.82
11:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
11:10:01 AM     all      0.03      0.00      0.04      0.00      0.00     99.92
11:20:01 AM     all      0.03      0.00      0.04      0.01      0.00     99.93
11:30:01 AM     all      0.03      0.00      0.04      0.00      0.00     99.93
11:40:01 AM     all      0.06      0.00      0.05      0.01      0.00     99.89
11:50:01 AM     all      0.06      0.00      0.05      0.01      0.00     99.88
12:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
12:10:01 PM     all      0.04      0.00      0.04      0.01      0.00     99.91
12:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
12:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
12:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
12:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:10:01 PM     all      0.03      0.00      0.04      0.00      0.00     99.92
01:20:02 PM     all      0.03      0.00      0.04      0.00      0.00     99.92
01:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:50:01 PM     all      0.03      0.00      0.05      0.00      0.00     99.93
02:00:01 PM     all      0.03      0.00      0.04      0.00      0.00     99.93
02:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
03:00:01 PM     all      0.05      0.00      0.04      0.00      0.00     99.90
03:10:01 PM     all      0.02      0.00      0.05      0.00      0.00     99.93
03:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
03:30:02 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
03:40:01 PM     all      0.03      0.00      0.05      0.00      0.00     99.92
03:50:01 PM     all      0.03      0.00      0.04      0.00      0.00     99.93
04:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:20:01 PM     all      0.04      0.00      0.07      0.00      0.00     99.89
04:30:01 PM     all      0.04      0.00      0.05      0.01      0.00     99.91
04:40:01 PM     all      0.04      0.00      0.05      0.00      0.00     99.91
04:50:01 PM     all      0.05      0.00      0.04      0.01      0.00     99.90
05:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
05:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
05:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
05:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
05:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
10:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
10:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
10:20:01 PM     all      0.04      0.00      0.04      0.00      0.00     99.91
10:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
11:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
11:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
Average:        all      0.08      0.00      0.04      0.00      0.00     99.87
