Linux 2.6.32-431.el6.i686 (bogon) 	06/12/2019 	_i686_	(24 CPU)

12:00:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:00:01 PM     all      1.02      0.00      0.08      0.01      0.00     98.90
03:10:02 PM     all      0.12      0.00      0.05      0.01      0.00     99.82
03:20:01 PM     all      0.10      0.00      0.05      0.01      0.00     99.84
03:30:01 PM     all      0.10      0.00      0.05      0.01      0.00     99.84
03:40:01 PM     all      0.05      0.00      0.04      0.01      0.00     99.90
03:50:01 PM     all      0.06      0.00      0.05      0.01      0.00     99.88
04:00:01 PM     all      0.08      0.00      0.05      0.02      0.00     99.85
04:10:01 PM     all      0.09      0.00      0.05      0.02      0.00     99.85
04:20:01 PM     all      0.10      0.00      0.05      0.03      0.00     99.82
04:30:01 PM     all      0.09      0.00      0.05      0.02      0.00     99.85
04:40:01 PM     all      0.06      0.00      0.05      0.02      0.00     99.88
04:50:01 PM     all      0.09      0.00      0.05      0.02      0.00     99.84
05:00:01 PM     all      0.07      0.00      0.05      0.01      0.00     99.88
05:10:01 PM     all      0.10      0.00      0.05      0.02      0.00     99.83
05:20:01 PM     all      0.08      0.00      0.05      0.02      0.00     99.85
05:30:01 PM     all      1.01      0.00      0.06      0.01      0.00     98.91
05:40:01 PM     all      0.28      0.00      0.05      0.01      0.00     99.66
05:50:01 PM     all      0.20      0.00      0.05      0.01      0.00     99.74
06:00:01 PM     all      0.11      0.00      0.05      0.02      0.00     99.82
06:10:01 PM     all      0.08      0.00      0.04      0.01      0.00     99.87
06:20:01 PM     all      0.06      0.00      0.04      0.01      0.00     99.89
06:30:01 PM     all      0.12      0.00      0.05      0.02      0.00     99.81
06:40:01 PM     all      0.06      0.00      0.05      0.01      0.00     99.88
06:50:01 PM     all      0.08      0.00      0.06      0.02      0.00     99.84
07:00:01 PM     all      0.07      0.00      0.05      0.01      0.00     99.88
07:10:01 PM     all      0.04      0.00      0.04      0.01      0.00     99.91
07:20:01 PM     all      0.03      0.00      0.05      0.00      0.00     99.92
07:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:20:02 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
10:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
10:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
10:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:00:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:10:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.93
11:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:50:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
Average:        all      0.16      0.00      0.05      0.01      0.00     99.78
