Linux 2.6.32-431.el6.i686 (bogon) 	06/14/2019 	_i686_	(24 CPU)

09:50:09 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
10:00:01 AM    dev8-0      0.56      0.00      8.06     14.49      0.01     19.20      4.56      0.25
10:00:01 AM  dev253-0      0.96      0.00      7.70      8.00      0.02     17.37      2.57      0.25
10:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:00:01 AM  dev253-2      0.05      0.00      0.41      8.00      0.00     14.70      1.23      0.01
10:10:01 AM    dev8-0      0.88      0.00     13.07     14.88      0.05     52.73      3.69      0.32
10:10:01 AM  dev253-0      1.63      0.00     13.02      8.00      0.07     45.02      1.99      0.32
10:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:20:01 AM    dev8-0     17.50    746.91    122.93     49.72      0.28     16.09      2.87      5.03
10:20:01 AM  dev253-0     31.11    746.56    120.85     27.88      2.38     76.39      1.59      4.94
10:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:20:01 AM  dev253-2      0.32      0.35      2.17      8.00      0.00     13.40      3.41      0.11
10:30:01 AM    dev8-0      2.70      0.00     59.57     22.03      0.26     94.38      3.91      1.06
10:30:01 AM  dev253-0      5.49      0.00     43.94      8.00      0.77    139.63      1.66      0.91
10:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:30:01 AM  dev253-2      1.94      0.00     15.54      8.00      0.08     42.46      0.81      0.16
10:40:01 AM    dev8-0      0.80      0.00     12.02     15.02      0.01     13.31      4.70      0.38
10:40:01 AM  dev253-0      1.34      0.00     10.75      8.00      0.02     13.25      2.47      0.33
10:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:40:01 AM  dev253-2      0.16      0.00      1.27      8.00      0.00     15.13      2.78      0.04
10:50:01 AM    dev8-0      0.86      0.00     12.46     14.42      0.01     10.66      4.75      0.41
10:50:01 AM  dev253-0      1.50      0.00     12.03      8.00      0.02     11.66      2.59      0.39
10:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:50:01 AM  dev253-2      0.06      0.00      0.48      8.00      0.00     11.53      3.39      0.02
11:00:01 AM    dev8-0      1.85      0.00     30.11     16.24      0.02     10.32      4.33      0.80
11:00:01 AM  dev253-0      3.62      0.00     28.93      8.00      0.04     11.99      2.11      0.76
11:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:00:01 AM  dev253-2      0.14      0.00      1.12      8.00      0.00     13.85      2.93      0.04
02:50:37 AM    dev8-0      0.90      1.10     21.56     25.28      0.03     29.63      4.49      0.40
02:50:37 AM  dev253-0      2.30      0.72     18.03      8.14      0.25    108.83      1.56      0.36
02:50:37 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:50:37 AM  dev253-2      0.49      0.38      3.53      8.00      0.03     52.13      0.93      0.05
12:00:01 AM    dev8-0      0.77      0.10     16.35     21.26      0.02     26.91      4.54      0.35
12:00:01 AM  dev253-0      1.89      0.07     15.06      8.00      0.18     93.29      1.75      0.33
12:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:00:01 AM  dev253-2      0.16      0.03      1.29      8.15      0.01     50.30      1.39      0.02
12:10:01 AM    dev8-0      0.83      0.00     14.17     16.98      0.01     14.11      4.21      0.35
12:10:01 AM  dev253-0      1.77      0.00     14.17      8.00      0.03     19.62      1.98      0.35
12:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM    dev8-0      0.33      0.00      3.19      9.66      0.00      9.89      5.12      0.17
12:20:01 AM  dev253-0      0.40      0.00      3.19      8.00      0.00      9.84      4.24      0.17
12:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM    dev8-0      0.34      0.00      3.33      9.80      0.00     10.23      5.26      0.18
12:30:01 AM  dev253-0      0.42      0.00      3.33      8.00      0.00     10.30      4.30      0.18
12:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM    dev8-0      0.32      0.00      3.16      9.93      0.00      9.98      5.28      0.17
12:40:01 AM  dev253-0      0.40      0.00      3.16      8.00      0.00     10.26      4.26      0.17
12:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM    dev8-0      0.32      0.00      3.04      9.60      0.00      9.60      5.18      0.16
12:50:01 AM  dev253-0      0.39      0.00      3.09      8.00      0.00      9.40      4.24      0.16
12:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM    dev8-0      0.34      0.00      3.48     10.34      0.00      9.82      5.13      0.17
01:00:01 AM  dev253-0      0.43      0.00      3.43      8.00      0.00     10.53      4.03      0.17
01:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM    dev8-0      0.36      0.00      3.45      9.64      0.00      9.95      5.20      0.19
01:10:01 AM  dev253-0      0.44      0.00      3.49      8.00      0.00     10.06      4.27      0.19
01:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM    dev8-0      0.34      0.00      3.16      9.43      0.00      9.07      4.91      0.16
01:20:01 AM  dev253-0      0.39      0.00      3.12      8.00      0.00      8.85      4.22      0.16
01:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:30:01 AM    dev8-0      0.32      0.00      3.17     10.07      0.00      9.64      5.30      0.17
01:30:01 AM  dev253-0      0.40      0.00      3.17      8.00      0.00      9.84      4.21      0.17
01:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
