Linux 2.6.32-431.el6.i686 (bogon) 	06/11/2019 	_i686_	(24 CPU)

12:00:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01 AM     all      0.02      0.00      0.04      0.01      0.00     99.93
12:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
12:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:30:01 AM     all      0.03      0.00      0.04      0.01      0.00     99.92
02:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
03:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
03:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
03:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:30:01 AM     all      0.02      0.01      0.05      0.00      0.00     99.92
04:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
05:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
05:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
05:20:01 AM     all      0.03      0.00      0.05      0.00      0.00     99.92
05:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:00:01 AM     all      0.04      0.00      0.05      0.00      0.00     99.91
09:10:01 AM     all      0.05      0.00      0.04      0.02      0.00     99.88
09:20:01 AM     all      0.07      0.00      0.05      0.01      0.00     99.87
09:30:01 AM     all      0.04      0.00      0.04      0.01      0.00     99.92
09:40:01 AM     all      0.04      0.00      0.06      0.00      0.00     99.90
09:50:01 AM     all      0.03      0.00      0.04      0.00      0.00     99.93
10:00:01 AM     all      0.04      0.00      0.04      0.01      0.00     99.91
10:10:01 AM     all      0.07      0.00      0.07      0.06      0.00     99.80
10:20:01 AM     all      1.04      0.00      0.11      0.02      0.00     98.83
10:30:02 AM     all      0.24      0.00      0.10      0.01      0.00     99.65
10:40:01 AM     all      0.18      0.00      0.05      0.01      0.00     99.75
10:50:01 AM     all      0.09      0.00      0.05      0.01      0.00     99.85
11:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
11:10:01 AM     all      0.09      0.00      0.04      0.00      0.00     99.86
11:20:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.85
11:30:01 AM     all      0.16      0.00      0.04      0.00      0.00     99.79
11:40:01 AM     all      0.09      0.00      0.04      0.01      0.00     99.86
11:50:01 AM     all      0.12      0.00      0.04      0.00      0.00     99.84
12:00:01 PM     all      0.05      0.00      0.04      0.00      0.00     99.90
12:10:01 PM     all      0.09      0.00      0.04      0.00      0.00     99.87
12:20:01 PM     all      0.14      0.00      0.04      0.00      0.00     99.81
12:30:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.88
12:40:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.88
12:50:02 PM     all      0.08      0.00      0.04      0.00      0.00     99.88
