Linux 2.6.32-431.el6.i686 (bogon) 	06/10/2019 	_i686_	(24 CPU)

12:00:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01 AM     all      0.02      0.00      0.04      0.01      0.00     99.93
12:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:50:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
02:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:10:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
02:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
03:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:30:01 AM     all      0.02      0.01      0.05      0.01      0.00     99.92
03:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:00:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
04:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:50:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.92
05:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:40:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
05:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:00:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
06:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:00:01 AM     all      0.03      0.00      0.06      0.00      0.00     99.91
10:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:20:01 AM     all      0.04      0.00      0.04      0.01      0.00     99.91
10:30:01 AM     all      0.07      0.00      0.04      0.00      0.00     99.88
10:40:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
10:50:01 AM     all      0.03      0.00      0.04      0.00      0.00     99.93
11:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
11:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
11:20:01 AM     all      1.10      0.00      0.07      0.04      0.00     98.79
11:30:01 AM     all      0.06      0.00      0.04      0.01      0.00     99.89
11:40:01 AM     all      0.09      0.00      0.04      0.00      0.00     99.87
11:50:01 AM     all      1.05      0.00      0.08      0.01      0.00     98.86
12:00:01 PM     all      1.21      0.00      0.08      0.01      0.00     98.70
12:10:01 PM     all      0.05      0.00      0.04      0.00      0.00     99.91
12:20:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
12:30:01 PM     all      0.14      0.00      0.05      0.00      0.00     99.81
12:40:01 PM     all      1.02      0.00      0.07      0.01      0.00     98.91
12:50:01 PM     all      0.05      0.00      0.04      0.00      0.00     99.91
