Linux 2.6.32-431.el6.i686 (bogon) 	06/07/2019 	_i686_	(24 CPU)

12:00:01 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
12:10:01 AM    dev8-0      0.77      0.00     10.36     13.51      0.01     10.42      4.34      0.33
12:10:01 AM  dev253-0      1.30      0.00     10.36      8.00      0.02     14.37      2.57      0.33
12:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM    dev8-0      0.29      0.00      3.24     11.05      0.00     11.10      5.06      0.15
12:20:01 AM  dev253-0      0.41      0.00      3.24      8.00      0.00     11.18      3.67      0.15
12:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM    dev8-0      0.32      0.00      3.29     10.35      0.00     10.28      5.01      0.16
12:30:01 AM  dev253-0      0.41      0.00      3.29      8.00      0.00     10.55      3.87      0.16
12:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM    dev8-0      0.34      0.00      3.52     10.25      0.00      9.55      4.98      0.17
12:40:01 AM  dev253-0      0.44      0.00      3.52      8.00      0.00      9.98      3.88      0.17
12:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM    dev8-0      0.38      0.00      4.27     11.18      0.00     10.90      4.71      0.18
12:50:01 AM  dev253-0      0.53      0.00      4.27      8.00      0.01     10.67      3.37      0.18
12:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM    dev8-0      0.33      0.00      3.51     10.73      0.00     10.51      4.93      0.16
01:00:01 AM  dev253-0      0.44      0.00      3.51      8.00      0.00     10.16      3.68      0.16
01:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM    dev8-0      0.34      0.00      3.89     11.40      0.00     10.62      4.93      0.17
01:10:01 AM  dev253-0      0.50      0.00      3.99      8.00      0.01     10.52      3.38      0.17
01:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM    dev8-0      0.35      0.00      4.05     11.58      0.00      9.18      4.66      0.16
01:20:01 AM  dev253-0      0.50      0.00      3.96      8.00      0.00      9.61      3.29      0.16
01:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
