Linux 2.6.32-431.el6.i686 (bogon) 	06/13/2019 	_i686_	(24 CPU)

12:00:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01 AM     all      0.02      0.00      0.04      0.01      0.00     99.93
12:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:10:01 AM     all      0.03      0.00      0.05      0.00      0.00     99.92
01:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
01:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:30:01 AM     all      0.03      0.00      0.04      0.01      0.00     99.92
02:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
03:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
03:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:40:01 AM     all      0.02      0.01      0.05      0.01      0.00     99.92
03:50:01 AM     all      0.05      0.00      0.04      0.00      0.00     99.91
04:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
04:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:50:01 AM     all      0.03      0.00      0.04      0.00      0.00     99.93
05:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
05:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
05:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
06:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
09:00:01 AM     all      0.04      0.00      0.05      0.01      0.00     99.91
09:10:01 AM     all      0.03      0.00      0.04      0.01      0.00     99.92
09:20:01 AM     all      0.04      0.00      0.05      0.01      0.00     99.91
09:30:01 AM     all      0.96      0.00      0.08      0.01      0.00     98.95
09:40:01 AM     all      0.24      0.00      0.05      0.01      0.00     99.70
09:50:01 AM     all      0.08      0.00      0.05      0.01      0.00     99.87
10:00:01 AM     all      0.06      0.00      0.04      0.01      0.00     99.89
10:10:01 AM     all      1.13      0.00      0.07      0.01      0.00     98.78
10:20:01 AM     all      0.54      0.00      0.06      0.01      0.00     99.38
10:30:01 AM     all      0.85      0.00      0.06      0.03      0.00     99.06
10:40:01 AM     all      0.13      0.00      0.05      0.01      0.00     99.81
10:50:01 AM     all      0.14      0.00      0.05      0.01      0.00     99.81
11:00:01 AM     all      1.01      0.00      0.06      0.01      0.00     98.92
11:10:01 AM     all      0.13      0.00      0.05      0.01      0.00     99.81
11:20:01 AM     all      0.12      0.00      0.06      0.01      0.00     99.81
11:30:01 AM     all      0.09      0.00      0.04      0.01      0.00     99.86
11:40:01 AM     all      0.12      0.00      0.04      0.00      0.00     99.83
11:50:01 AM     all      0.16      0.00      0.05      0.01      0.00     99.79
12:00:01 PM     all      0.52      0.00      0.09      0.03      0.00     99.35
12:10:01 PM     all      0.69      0.00      0.06      0.01      0.00     99.24
12:20:01 PM     all      0.07      0.00      0.04      0.00      0.00     99.89
12:30:02 PM     all      0.15      0.00      0.04      0.00      0.00     99.81
12:40:01 PM     all      0.06      0.00      0.04      0.00      0.00     99.89
12:50:01 PM     all      0.10      0.00      0.04      0.00      0.00     99.85
