Linux 2.6.32-431.el6.i686 (bogon) 	06/12/2019 	_i686_	(24 CPU)

12:00:01 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
12:10:01 AM    dev8-0      0.81      0.13     12.34     15.36      0.01     12.36      4.30      0.35
12:10:01 AM  dev253-0      1.56      0.13     12.42      8.06      0.02     15.46      2.24      0.35
12:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM    dev8-0      0.34      0.00      3.51     10.42      0.00     10.27      4.80      0.16
12:20:01 AM  dev253-0      0.43      0.00      3.43      8.00      0.00     10.74      3.78      0.16
12:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM    dev8-0      0.37      0.00      3.86     10.46      0.00     10.10      4.48      0.17
12:30:01 AM  dev253-0      0.48      0.00      3.86      8.00      0.00     10.11      3.43      0.17
12:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM    dev8-0      0.31      0.00      3.28     10.52      0.00      9.49      4.54      0.14
12:40:01 AM  dev253-0      0.41      0.00      3.28      8.00      0.00      9.22      3.45      0.14
12:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM    dev8-0      0.37      0.00      3.94     10.78      0.00     10.26      5.13      0.19
12:50:01 AM  dev253-0      0.49      0.00      3.94      8.00      0.01     10.60      3.81      0.19
12:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM    dev8-0      0.38      0.00      4.04     10.73      0.00     10.54      4.85      0.18
01:00:01 AM  dev253-0      0.51      0.00      4.04      8.00      0.01     10.26      3.62      0.18
01:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM    dev8-0      0.37      0.00      4.06     10.86      0.00     10.58      4.67      0.17
01:10:01 AM  dev253-0      0.51      0.00      4.06      8.00      0.01     10.62      3.44      0.17
01:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM    dev8-0      0.46      0.00      6.68     14.63      0.01     11.70      4.68      0.21
01:20:01 AM  dev253-0      0.84      0.00      6.68      8.00      0.01     13.57      2.56      0.21
