Linux 2.6.32-431.el6.i686 (bogon) 	06/10/2019 	_i686_	(24 CPU)

12:00:01 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
12:10:01 AM    dev8-0      0.61      0.00      6.80     11.24      0.01      9.47      4.78      0.29
12:10:01 AM  dev253-0      0.85      0.00      6.80      8.00      0.01     10.78      3.40      0.29
12:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM    dev8-0      0.32      0.01      3.26     10.37      0.00     10.50      4.79      0.15
12:20:01 AM  dev253-0      0.41      0.01      3.26      8.00      0.00     10.24      3.70      0.15
12:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM    dev8-0      0.28      0.00      2.93     10.54      0.00      8.38      4.70      0.13
12:30:01 AM  dev253-0      0.37      0.00      2.93      8.00      0.00      8.62      3.57      0.13
12:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM    dev8-0      0.29      0.00      2.95     10.22      0.00      9.18      4.96      0.14
12:40:01 AM  dev253-0      0.37      0.00      2.95      8.00      0.00      8.72      3.88      0.14
12:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM    dev8-0      0.32      0.00      3.36     10.67      0.00      9.44      5.04      0.16
12:50:01 AM  dev253-0      0.42      0.00      3.36      8.00      0.00      9.34      3.78      0.16
12:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM    dev8-0      0.30      0.00      3.14     10.44      0.00      9.79      4.92      0.15
01:00:01 AM  dev253-0      0.39      0.00      3.14      8.00      0.00      9.77      3.77      0.15
01:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM    dev8-0      0.28      0.00      3.17     11.27      0.00     10.41      4.73      0.13
01:10:01 AM  dev253-0      0.40      0.00      3.17      8.00      0.00     10.05      3.36      0.13
01:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM    dev8-0      0.34      0.00      3.67     10.89      0.00      8.77      4.69      0.16
01:20:01 AM  dev253-0      0.46      0.00      3.67      8.00      0.00      8.95      3.45      0.16
01:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:30:01 AM    dev8-0      0.25      0.00      2.75     10.84      0.00      8.82      4.59      0.12
01:30:01 AM  dev253-0      0.34      0.00      2.75      8.00      0.00      8.47      3.38      0.12
01:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:40:01 AM    dev8-0      0.30      0.00      3.06     10.12      0.00      9.39      5.20      0.16
01:40:01 AM  dev253-0      0.38      0.00      3.06      8.00      0.00      9.48      4.11      0.16
01:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:01 AM    dev8-0      0.32      0.00      3.47     10.78      0.00      9.72      5.01      0.16
01:50:01 AM  dev253-0      0.43      0.00      3.47      8.00      0.00      9.44      3.72      0.16
01:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:01 AM    dev8-0      0.29      0.00      3.04     10.67      0.00      9.85      4.96      0.14
02:00:01 AM  dev253-0      0.38      0.00      3.04      8.00      0.00      9.95      3.72      0.14
02:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:10:01 AM    dev8-0      0.32      0.00      3.50     11.03      0.00     10.20      4.70      0.15
02:10:01 AM  dev253-0      0.44      0.00      3.50      8.00      0.00     10.34      3.41      0.15
02:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:01 AM    dev8-0      0.29      0.00      3.09     10.61      0.00      9.40      4.97      0.14
02:20:01 AM  dev253-0      0.39      0.00      3.09      8.00      0.00      9.44      3.75      0.14
02:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:30:01 AM    dev8-0      0.25      0.00      2.61     10.59      0.00      8.73      4.99      0.12
02:30:01 AM  dev253-0      0.33      0.00      2.67      8.00      0.00      8.70      3.69      0.12
02:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:40:01 AM    dev8-0      0.26      0.00      2.72     10.67      0.00      8.90      4.90      0.13
02:40:01 AM  dev253-0      0.33      0.00      2.67      8.00      0.00      9.00      3.75      0.13
02:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:50:01 AM    dev8-0      0.31      0.00      3.36     10.90      0.00      9.63      5.04      0.16
02:50:01 AM  dev253-0      0.42      0.00      3.36      8.00      0.00      9.55      3.70      0.16
02:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:00:01 AM    dev8-0      0.31      0.00      3.23     10.52      0.00      9.45      5.06      0.16
03:00:01 AM  dev253-0      0.40      0.00      3.23      8.00      0.00      9.26      3.85      0.16
03:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01 AM    dev8-0      0.33      0.00      3.31     10.02      0.00     10.10      4.79      0.16
03:10:01 AM  dev253-0      0.41      0.00      3.31      8.00      0.00      9.83      3.83      0.16
03:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:20:01 AM    dev8-0      0.32      0.00      3.26     10.17      0.00      9.53      4.73      0.15
03:20:01 AM  dev253-0      0.41      0.00      3.26      8.00      0.00      9.61      3.72      0.15
03:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:01 AM    dev8-0      0.99      3.35     53.51     57.71      0.05     47.27      3.29      0.32
03:30:01 AM  dev253-0      6.73      0.35     53.51      8.00      1.28    190.05      0.41      0.28
03:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:01 AM  dev253-2      0.38      3.00      0.00      8.00      0.00      1.28      1.28      0.05
03:40:01 AM    dev8-0      0.30      0.00      3.00     10.17      0.00      8.76      5.25      0.15
03:40:01 AM  dev253-0      0.38      0.00      3.00      8.00      0.00      8.96      4.13      0.15
03:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:01 AM    dev8-0      0.36      0.00      3.75     10.50      0.00     10.01      4.81      0.17
03:50:01 AM  dev253-0      0.47      0.00      3.75      8.00      0.00      9.79      3.66      0.17
03:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:01 AM    dev8-0      0.31      0.00      3.27     10.48      0.00      9.41      5.13      0.16
04:00:01 AM  dev253-0      0.41      0.00      3.31      8.00      0.00      9.49      3.88      0.16
04:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:10:01 AM    dev8-0      0.29      0.00      3.04     10.36      0.00      9.51      4.91      0.14
04:10:01 AM  dev253-0      0.38      0.00      3.00      8.00      0.00      9.70      3.84      0.14
04:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:20:01 AM    dev8-0      0.29      0.00      3.04     10.54      0.00      9.37      4.87      0.14
04:20:01 AM  dev253-0      0.38      0.00      3.04      8.00      0.00      9.79      3.70      0.14
04:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:30:01 AM    dev8-0      0.30      0.00      3.03     10.03      0.00      9.03      4.87      0.15
04:30:01 AM  dev253-0      0.38      0.00      3.03      8.00      0.00      9.09      3.89      0.15
04:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:01 AM    dev8-0      0.25      0.00      2.68     10.58      0.00      8.59      4.82      0.12
04:40:01 AM  dev253-0      0.34      0.00      2.68      8.00      0.00      8.31      3.64      0.12
04:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:50:01 AM    dev8-0      0.34      0.00      3.55     10.53      0.00      9.22      4.94      0.17
04:50:01 AM  dev253-0      0.44      0.00      3.55      8.00      0.00      9.66      3.75      0.17
04:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:00:01 AM    dev8-0      0.32      0.00      3.32     10.43      0.00      9.67      4.89      0.16
05:00:01 AM  dev253-0      0.42      0.00      3.32      8.00      0.00      9.54      3.76      0.16
05:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:10:01 AM    dev8-0      0.30      0.00      3.19     10.56      0.00      9.71      4.73      0.14
05:10:01 AM  dev253-0      0.40      0.00      3.19      8.00      0.00     10.12      3.59      0.14
05:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:01 AM    dev8-0      0.33      0.00      3.33     10.10      0.00      9.88      5.16      0.17
05:20:01 AM  dev253-0      0.42      0.00      3.35      8.00      0.00     10.20      4.07      0.17
05:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:30:01 AM    dev8-0      0.31      0.00      3.04      9.97      0.00      9.89      4.92      0.15
05:30:01 AM  dev253-0      0.38      0.00      3.03      8.00      0.00      9.67      3.97      0.15
05:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:01 AM    dev8-0      0.26      0.00      2.73     10.51      0.00      8.83      4.90      0.13
05:40:01 AM  dev253-0      0.34      0.00      2.73      8.00      0.00      8.96      3.73      0.13
05:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:50:01 AM    dev8-0      0.31      0.00      3.37     10.82      0.00      9.97      4.97      0.15
05:50:01 AM  dev253-0      0.42      0.00      3.37      8.00      0.00     10.24      3.67      0.15
05:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:00:01 AM    dev8-0      0.28      0.00      2.96     10.76      0.00     10.16      4.99      0.14
06:00:01 AM  dev253-0      0.37      0.00      2.96      8.00      0.00     10.13      3.71      0.14
06:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:01 AM    dev8-0      0.30      0.00      3.05     10.19      0.00      9.56      5.06      0.15
06:10:01 AM  dev253-0      0.38      0.00      3.05      8.00      0.00      9.89      3.97      0.15
06:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:20:01 AM    dev8-0      0.32      0.00      3.26     10.06      0.00      9.08      4.89      0.16
06:20:01 AM  dev253-0      0.41      0.00      3.26      8.00      0.00      8.97      3.89      0.16
06:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:30:01 AM    dev8-0      0.30      0.00      3.08     10.15      0.00      9.03      4.84      0.15
06:30:01 AM  dev253-0      0.39      0.00      3.08      8.00      0.00      9.04      3.82      0.15
06:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:40:01 AM    dev8-0      0.29      0.00      2.96     10.39      0.00      9.25      5.16      0.15
06:40:01 AM  dev253-0      0.37      0.00      2.96      8.00      0.00      9.64      3.98      0.15
06:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:50:01 AM    dev8-0      0.33      0.00      3.56     10.68      0.00      9.26      4.82      0.16
06:50:01 AM  dev253-0      0.45      0.00      3.62      8.00      0.00      8.94      3.55      0.16
06:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:00:01 AM    dev8-0      0.30      0.00      3.20     10.61      0.00      9.40      4.89      0.15
07:00:01 AM  dev253-0      0.39      0.00      3.15      8.00      0.00      9.43      3.75      0.15
07:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:10:01 AM    dev8-0      0.42      0.00      5.53     13.14      0.01     17.69      4.98      0.21
07:10:01 AM  dev253-0      0.65      0.00      5.21      8.00      0.01     16.67      2.91      0.19
07:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:10:01 AM  dev253-2      0.04      0.00      0.32      8.00      0.00     14.62      4.96      0.02
07:20:01 AM    dev8-0      0.30      0.00      3.11     10.53      0.00     11.27      5.62      0.17
