Linux 2.6.32-431.el6.i686 (bogon) 	06/14/2019 	_i686_	(24 CPU)

09:50:09 AM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
10:00:01 AM        lo      0.94      0.94      0.09      0.09      0.00      0.00      0.00
10:00:01 AM  Auto_em1      0.96      0.58      0.10      0.06      0.00      0.00      0.05
10:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:01 AM        lo      0.30      0.30      0.02      0.02      0.00      0.00      0.00
10:10:01 AM  Auto_em1      1.06      0.84      0.13      0.07      0.00      0.00      0.05
10:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:20:01 AM        lo     18.39     18.39      4.21      4.21      0.00      0.00      0.00
10:20:01 AM  Auto_em1     35.35     55.83      3.03     75.23      0.00      0.00      0.05
10:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:30:01 AM        lo     55.89     55.89     10.96     10.96      0.00      0.00      0.00
10:30:01 AM  Auto_em1     16.04     20.46      2.06     24.76      0.00      0.00      0.05
10:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:40:01 AM        lo     17.36     17.36      6.26      6.26      0.00      0.00      0.00
10:40:01 AM  Auto_em1      3.68      4.92      0.58      5.37      0.00      0.00      0.05
10:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:50:01 AM        lo      9.07      9.07      2.89      2.89      0.00      0.00      0.00
10:50:01 AM  Auto_em1     16.91     27.39      1.49     37.14      0.00      0.00      0.05
10:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:00:01 AM        lo     35.88     35.88     10.60     10.60      0.00      0.00      0.00
11:00:01 AM  Auto_em1     12.36     16.77      1.94     14.66      0.00      0.00      0.05
11:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:50:37 AM        lo      5.76      5.76      1.81      1.81      0.00      0.00      0.00
02:50:37 AM  Auto_em1      6.06      8.24      0.68      8.10      0.00      0.00      0.07
02:50:37 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:00:01 AM        lo      4.81      4.81      1.42      1.42      0.00      0.00      0.00
12:00:01 AM  Auto_em1      1.41      2.17      0.21      2.20      0.00      0.00      0.05
12:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:10:01 AM        lo      0.03      0.03      0.00      0.00      0.00      0.00      0.00
12:10:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
12:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
12:20:01 AM  Auto_em1      0.06      0.03      0.01      0.00      0.00      0.00      0.05
12:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
12:30:01 AM  Auto_em1      0.05      0.00      0.01      0.00      0.00      0.00      0.05
12:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
12:40:01 AM  Auto_em1      0.07      0.02      0.01      0.00      0.00      0.00      0.05
12:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
12:50:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
12:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
01:00:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
01:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
01:10:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
01:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
01:20:01 AM  Auto_em1      0.06      0.03      0.01      0.00      0.00      0.00      0.05
01:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:30:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
01:30:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
01:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:40:01 AM        lo      0.05      0.05      0.01      0.01      0.00      0.00      0.00
01:40:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
01:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
01:50:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
01:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
02:00:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
02:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:10:01 AM        lo      0.02      0.02      0.00      0.00      0.00      0.00      0.00
02:10:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
02:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
02:20:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
02:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:30:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
02:30:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
02:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:40:01 AM        lo      0.04      0.04      0.00      0.00      0.00      0.00      0.00
02:40:01 AM  Auto_em1      0.10      0.07      0.02      0.01      0.00      0.00      0.05
02:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:50:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
02:50:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
02:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:00:01 AM        lo      0.98      0.98      0.14      0.14      0.00      0.00      0.00
03:00:01 AM  Auto_em1      0.09      0.06      0.03      0.01      0.00      0.00      0.05
03:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
03:10:01 AM  Auto_em1      0.05      0.00      0.01      0.00      0.00      0.00      0.05
03:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:20:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
03:20:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
03:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
03:30:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
03:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
03:40:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
03:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
03:50:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
03:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
04:00:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
04:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:10:01 AM        lo      0.02      0.02      0.00      0.00      0.00      0.00      0.00
04:10:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
04:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:20:01 AM        lo      0.01      0.01      0.00      0.00      0.00      0.00      0.00
