Linux 2.6.32-431.el6.i686 (bogon) 	06/14/2019 	_i686_	(24 CPU)

09:50:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:00:01 AM     all      0.16      0.00      0.05      0.00      0.00     99.79
10:10:01 AM     all      0.08      0.00      0.05      0.00      0.00     99.87
10:20:01 AM     all      0.30      0.03      0.09      0.18      0.00     99.40
10:30:01 AM     all      1.13      0.00      0.08      0.02      0.00     98.76
10:40:01 AM     all      0.27      0.00      0.05      0.01      0.00     99.68
10:50:01 AM     all      0.10      0.00      0.05      0.01      0.00     99.85
11:00:01 AM     all      0.37      0.00      0.05      0.02      0.00     99.56
02:50:37 AM     all      0.51      0.00      0.06      0.01      0.00     99.42
12:00:01 AM     all      0.27      0.00      0.05      0.01      0.00     99.68
12:10:01 AM     all      0.07      0.00      0.04      0.01      0.00     99.87
12:20:01 AM     all      0.12      0.00      0.04      0.00      0.00     99.84
12:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
12:40:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
12:50:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
01:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
01:10:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
01:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
01:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
01:40:01 AM     all      0.13      0.00      0.05      0.00      0.00     99.82
01:50:01 AM     all      0.09      0.00      0.04      0.00      0.00     99.86
02:00:01 AM     all      0.11      0.00      0.04      0.00      0.00     99.85
02:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
02:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
02:30:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
02:40:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
02:50:01 AM     all      0.07      0.00      0.04      0.00      0.00     99.88
03:00:01 AM     all      0.14      0.00      0.05      0.00      0.00     99.81
03:10:01 AM     all      0.07      0.00      0.04      0.00      0.00     99.88
03:20:01 AM     all      0.12      0.00      0.04      0.00      0.00     99.84
03:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
03:40:01 AM     all      0.08      0.01      0.05      0.00      0.00     99.86
03:50:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
04:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
04:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
04:20:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
04:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
04:40:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
04:50:01 AM     all      0.12      0.00      0.04      0.00      0.00     99.83
05:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
05:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
05:20:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
05:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
05:40:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
05:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
06:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
06:10:01 AM     all      0.15      0.00      0.04      0.00      0.00     99.81
06:20:01 AM     all      0.05      0.00      0.05      0.00      0.00     99.89
06:30:01 AM     all      0.09      0.00      0.06      0.00      0.00     99.85
06:40:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
06:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
07:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
07:10:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
07:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
07:30:01 AM     all      0.08      0.00      0.05      0.00      0.00     99.87
07:40:01 AM     all      0.15      0.00      0.04      0.00      0.00     99.80
07:50:01 AM     all      0.05      0.00      0.04      0.00      0.00     99.90
08:00:01 AM     all      0.08      0.00      0.05      0.00      0.00     99.87
08:10:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
08:20:02 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
08:30:01 AM     all      0.07      0.00      0.04      0.00      0.00     99.88
08:40:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
08:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
09:00:01 AM     all      0.21      0.00      0.05      0.01      0.00     99.74
09:10:01 AM     all      0.27      0.00      0.05      0.10      0.00     99.58
09:20:01 AM     all      0.13      0.00      0.05      0.06      0.00     99.77
09:30:01 AM     all      0.29      0.00      0.06      0.16      0.00     99.50
09:40:01 AM     all      0.11      0.00      0.04      0.00      0.00     99.84
09:50:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
10:00:01 AM     all      0.92      0.00      0.07      0.00      0.00     99.00
10:10:01 AM     all      0.07      0.00      0.04      0.00      0.00     99.88
10:20:01 AM     all      0.29      0.00      0.05      0.01      0.00     99.65
10:30:01 AM     all      0.09      0.00      0.04      0.00      0.00     99.86
10:40:01 AM     all      0.28      0.00      0.04      0.01      0.00     99.67
10:50:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.86
11:00:01 AM     all      0.11      0.00      0.04      0.01      0.00     99.84
11:10:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.85
11:20:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.85
11:30:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.85
11:40:01 AM     all      0.12      0.00      0.04      0.00      0.00     99.83
11:50:01 AM     all      0.06      0.00      0.05      0.00      0.00     99.88
12:00:01 PM     all      0.10      0.00      0.04      0.00      0.00     99.85
12:10:01 PM     all      0.09      0.00      0.04      0.00      0.00     99.86
12:20:01 PM     all      0.09      0.00      0.04      0.00      0.00     99.86
12:30:01 PM     all      0.15      0.00      0.04      0.00      0.00     99.80
12:40:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
12:50:02 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
01:00:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
01:10:01 PM     all      0.14      0.00      0.04      0.00      0.00     99.81
01:20:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.88
01:30:01 PM     all      0.17      0.00      0.06      0.00      0.00     99.77
01:40:01 PM     all      0.13      0.00      0.04      0.00      0.00     99.83
01:50:01 PM     all      0.07      0.00      0.04      0.00      0.00     99.88
02:00:01 PM     all      0.12      0.00      0.04      0.00      0.00     99.83
02:10:01 PM     all      0.11      0.00      0.04      0.00      0.00     99.84
02:20:01 PM     all      0.07      0.00      0.04      0.00      0.00     99.88
02:30:01 PM     all      0.94      0.00      0.07      0.00      0.00     98.98
02:40:01 PM     all      0.26      0.00      0.05      0.01      0.00     99.69
02:50:01 PM     all      0.03      0.00      0.04      0.00      0.00     99.93
03:00:01 PM     all      0.10      0.00      0.05      0.01      0.00     99.85
03:10:01 PM     all      0.13      0.00      0.04      0.00      0.00     99.82
03:20:01 PM     all      0.06      0.00      0.04      0.00      0.00     99.89
03:30:01 PM     all      0.10      0.00      0.04      0.00      0.00     99.85
03:40:01 PM     all      0.10      0.00      0.04      0.00      0.00     99.85
03:50:01 PM     all      0.17      0.00      0.04      0.00      0.00     99.78
04:00:01 PM     all      0.10      0.00      0.05      0.01      0.00     99.85
04:10:01 PM     all      0.10      0.00      0.04      0.00      0.00     99.85
04:20:01 PM     all      0.14      0.00      0.04      0.01      0.00     99.81
04:30:01 PM     all      0.09      0.00      0.04      0.00      0.00     99.87
04:40:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
04:50:01 PM     all      0.14      0.00      0.05      0.00      0.00     99.81
05:00:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
05:10:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
05:20:01 PM     all      0.13      0.00      0.04      0.00      0.00     99.83
05:30:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
05:40:01 PM     all      0.12      0.00      0.04      0.00      0.00     99.83
05:50:01 PM     all      0.12      0.00      0.05      0.00      0.00     99.83
06:00:01 PM     all      0.07      0.00      0.04      0.00      0.00     99.88
06:10:01 PM     all      0.12      0.00      0.04      0.00      0.00     99.83
06:20:01 PM     all      0.07      0.00      0.04      0.00      0.00     99.88
06:30:01 PM     all      0.13      0.00      0.04      0.00      0.00     99.82
06:40:01 PM     all      0.12      0.00      0.04      0.00      0.00     99.83
06:50:01 PM     all      0.09      0.00      0.05      0.00      0.00     99.86
07:00:01 PM     all      0.15      0.00      0.04      0.00      0.00     99.80
07:10:01 PM     all      0.05      0.00      0.04      0.00      0.00     99.90
07:20:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.88
07:30:01 PM     all      0.14      0.00      0.04      0.00      0.00     99.82
07:40:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.88
07:50:01 PM     all      0.13      0.00      0.04      0.00      0.00     99.82
08:00:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
08:10:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.88
08:20:01 PM     all      0.14      0.00      0.04      0.00      0.00     99.82
08:30:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
08:40:01 PM     all      0.10      0.00      0.04      0.00      0.00     99.86
08:50:01 PM     all      0.11      0.00      0.04      0.00      0.00     99.85
09:00:01 PM     all      0.11      0.00      0.04      0.00      0.00     99.84
09:10:01 PM     all      0.14      0.00      0.04      0.00      0.00     99.82
09:20:01 PM     all      0.08      0.00      0.05      0.00      0.00     99.86
09:30:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
09:40:01 PM     all      0.14      0.00      0.04      0.00      0.00     99.82
09:50:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
10:00:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.88
10:10:01 PM     all      0.12      0.00      0.04      0.00      0.00     99.83
10:20:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
10:30:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
10:40:01 PM     all      0.14      0.00      0.04      0.00      0.00     99.82
10:50:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.88
11:00:01 PM     all      0.14      0.00      0.04      0.00      0.00     99.82
11:10:01 PM     all      0.08      0.00      0.05      0.00      0.00     99.86
11:20:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.88
11:30:01 PM     all      0.15      0.00      0.04      0.00      0.00     99.80
11:40:01 PM     all      0.05      0.00      0.04      0.00      0.00     99.90
11:50:01 PM     all      0.08      0.00      0.04      0.00      0.00     99.87
Average:        all      0.18      0.00      0.05      0.01      0.00     99.77
